epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,299.813,1.30684,2.55831,1.56743,0.79111,0.4871,0.53322,0.31291,1.3276,1.50798,1.60315,0.00332922,0.00332922,0.00332922
2,596.67,1.22727,1.71613,1.49841,0.79437,0.46592,0.51731,0.30838,1.35704,1.34319,1.61515,0.00659659,0.00659659,0.00659659
3,884.267,1.27192,1.51053,1.53933,0.77102,0.48011,0.51566,0.30474,1.36672,1.31637,1.62629,0.00979797,0.00979797,0.00979797
4,1154.34,1.31654,1.41499,1.57168,0.80189,0.48027,0.52694,0.31243,1.38276,1.2915,1.63049,0.009703,0.009703,0.009703
5,1426.87,1.28282,1.30407,1.54338,0.82576,0.49513,0.55154,0.3366,1.31455,1.13403,1.56255,0.009604,0.009604,0.009604
6,1705.68,1.24967,1.20854,1.50338,0.83085,0.52292,0.5714,0.35121,1.27916,1.06779,1.5238,0.009505,0.009505,0.009505
7,1986.73,1.22912,1.15952,1.48744,0.84528,0.52686,0.58515,0.36683,1.24905,1.01869,1.4941,0.009406,0.009406,0.009406
8,2274.03,1.19741,1.11534,1.46621,0.81276,0.53889,0.57836,0.35755,1.25628,1.03054,1.49521,0.009307,0.009307,0.009307
9,2561.38,1.19874,1.10415,1.46238,0.84702,0.53547,0.58738,0.3724,1.22915,0.97441,1.48546,0.009208,0.009208,0.009208
10,2848.31,1.16787,1.05133,1.44083,0.8653,0.54435,0.60375,0.38079,1.21502,0.93312,1.4535,0.009109,0.009109,0.009109
11,3134.03,1.15874,1.02468,1.43073,0.85458,0.5488,0.59991,0.38128,1.20177,0.92545,1.45546,0.00901,0.00901,0.00901
12,3422.6,1.14911,1.01508,1.42095,0.85238,0.55817,0.60644,0.38627,1.18244,0.92877,1.44049,0.008911,0.008911,0.008911
13,3709,1.13699,1.00001,1.40606,0.85611,0.56394,0.62485,0.39823,1.18078,0.90968,1.43014,0.008812,0.008812,0.008812
14,3995.06,1.12329,0.96669,1.39824,0.86525,0.56654,0.62083,0.39884,1.16376,0.87686,1.41794,0.008713,0.008713,0.008713
15,4282.32,1.11495,0.95588,1.39264,0.73593,0.57781,0.62478,0.40196,1.16216,0.87545,1.42292,0.008614,0.008614,0.008614
16,4569.32,1.10435,0.94659,1.38776,0.67347,0.58047,0.62841,0.40153,1.15378,0.85347,1.40763,0.008515,0.008515,0.008515
17,4856.19,1.10585,0.93253,1.38417,0.77884,0.59002,0.64347,0.41086,1.14341,0.84469,1.39669,0.008416,0.008416,0.008416
18,5142.63,1.09132,0.92139,1.37528,0.6635,0.57616,0.6327,0.41395,1.13854,0.82222,1.38569,0.008317,0.008317,0.008317
19,5429.71,1.08709,0.91011,1.3729,0.86559,0.56981,0.6259,0.40935,1.13094,0.83221,1.39548,0.008218,0.008218,0.008218
20,5715.88,1.08343,0.89722,1.3704,0.8431,0.59061,0.64149,0.41973,1.11957,0.81505,1.38422,0.008119,0.008119,0.008119
21,6002.81,1.07702,0.88099,1.35549,0.80122,0.58618,0.64117,0.4148,1.12121,0.81111,1.38245,0.00802,0.00802,0.00802
22,6289.2,1.06747,0.87619,1.35321,0.85346,0.58726,0.65494,0.4268,1.10746,0.8055,1.3681,0.007921,0.007921,0.007921
23,6575.25,1.06444,0.87486,1.35158,0.69192,0.59498,0.64193,0.42127,1.10417,0.78635,1.37392,0.007822,0.007822,0.007822
24,6862.19,1.06054,0.85833,1.34719,0.73161,0.59696,0.64926,0.43154,1.10023,0.78739,1.36117,0.007723,0.007723,0.007723
25,7148.93,1.05072,0.85473,1.34719,0.74028,0.59944,0.65847,0.43393,1.09231,0.77986,1.35816,0.007624,0.007624,0.007624
26,7435.27,1.04178,0.83786,1.3351,0.70136,0.62544,0.66347,0.43489,1.08825,0.76919,1.34654,0.007525,0.007525,0.007525
27,7723.36,1.03546,0.82903,1.32937,0.69314,0.64338,0.67171,0.43958,1.08246,0.76312,1.33912,0.007426,0.007426,0.007426
