epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,274.02,0.7089,0.4732,1.11379,0.88105,0.77322,0.83578,0.59354,0.91446,0.54825,1.26334,0.000369419,0.000369419,0.000369419
2,560.891,0.75994,0.52359,1.14302,0.87692,0.75148,0.82518,0.57616,0.94866,0.58274,1.29178,0.000710458,0.000710458,0.000710458
3,849.169,0.78954,0.55973,1.16879,0.86298,0.74863,0.8227,0.56979,0.97052,0.61206,1.32286,0.00102217,0.00102217,0.00102217
4,1142,0.81195,0.58611,1.18751,0.85043,0.75768,0.81484,0.56736,0.96931,0.60311,1.32204,0.000979013,0.000979013,0.000979013
5,1433.3,0.81278,0.58214,1.18642,0.85309,0.76037,0.82624,0.57009,0.95603,0.59453,1.30362,0.000935018,0.000935018,0.000935018
6,1725,0.80369,0.57143,1.18259,0.85644,0.75717,0.81315,0.56468,0.9564,0.59539,1.30933,0.000891022,0.000891022,0.000891022
7,2018.18,0.79748,0.56971,1.17651,0.84176,0.77037,0.82151,0.5687,0.95813,0.58471,1.30472,0.000847026,0.000847026,0.000847026
8,2310.32,0.79987,0.56848,1.17954,0.84546,0.77017,0.82855,0.58116,0.94277,0.58067,1.28861,0.000803031,0.000803031,0.000803031
9,2602.65,0.79248,0.56024,1.17547,0.8468,0.77477,0.83121,0.57753,0.94688,0.58323,1.2871,0.000759035,0.000759035,0.000759035
10,2896.05,0.78831,0.55255,1.16962,0.84447,0.76463,0.81916,0.57158,0.94406,0.56927,1.28887,0.00071504,0.00071504,0.00071504
11,3188.72,0.77818,0.54187,1.16251,0.86201,0.77272,0.83411,0.58413,0.93429,0.56871,1.28235,0.000671044,0.000671044,0.000671044
12,3480.09,0.7726,0.53312,1.1588,0.84286,0.78063,0.83256,0.58607,0.93509,0.55925,1.28002,0.000627048,0.000627048,0.000627048
13,3774.38,0.76548,0.52874,1.15235,0.84379,0.79021,0.83779,0.588,0.93535,0.56169,1.27968,0.000583053,0.000583053,0.000583053
14,4069.27,0.76012,0.5273,1.15224,0.87222,0.77721,0.84416,0.59676,0.92459,0.5632,1.27354,0.000539057,0.000539057,0.000539057
15,4365.39,0.75642,0.51707,1.14447,0.85654,0.78701,0.84141,0.59066,0.92977,0.55131,1.27939,0.000495062,0.000495062,0.000495062
16,4678.9,0.75895,0.45262,1.11063,0.86316,0.77051,0.83525,0.58983,0.92415,0.54861,1.27374,0.000451066,0.000451066,0.000451066
17,4959.4,0.74738,0.4407,1.10084,0.86937,0.75996,0.82727,0.58485,0.92529,0.54915,1.26725,0.00040707,0.00040707,0.00040707
18,5241.61,0.73718,0.4279,1.08972,0.85878,0.7779,0.83685,0.5908,0.92174,0.54431,1.27436,0.000363075,0.000363075,0.000363075
19,5523.2,0.72549,0.42287,1.08468,0.86473,0.77905,0.84078,0.59573,0.91801,0.54191,1.27054,0.000319079,0.000319079,0.000319079
20,5803.99,0.71711,0.41453,1.07474,0.86792,0.77214,0.83613,0.59514,0.9211,0.5355,1.27698,0.000275084,0.000275084,0.000275084
21,6084.04,0.70819,0.406,1.06662,0.87129,0.77928,0.84153,0.60253,0.91558,0.53224,1.27539,0.000231088,0.000231088,0.000231088
22,6365.52,0.69984,0.39769,1.06191,0.86573,0.78386,0.84471,0.60314,0.91196,0.5307,1.26844,0.000187092,0.000187092,0.000187092
23,6646.43,0.69245,0.39028,1.05918,0.8721,0.78024,0.8438,0.60373,0.90872,0.53087,1.26862,0.000143097,0.000143097,0.000143097
24,6928.68,0.68651,0.38617,1.05438,0.86913,0.78261,0.84589,0.60496,0.90703,0.52892,1.26557,9.91012e-05,9.91012e-05,9.91012e-05
25,7210.94,0.67978,0.38044,1.04708,0.86863,0.78357,0.84539,0.60418,0.90604,0.52388,1.27011,5.51056e-05,5.51056e-05,5.51056e-05
